StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent,A1,A2,A3,A3_6_TEXT,A3_7_TEXT,A4,A5,state,A6,A7,B8_1,B8_2,B8_3,B8_4,B8_5,B8_6,B8_7,B8_8,B8_9,B8_10,B8_11,B8_12,B8_13,B8_14,B8_15,B8_16,B8_17,B8_18,B8_19,B8_20,B9_1,B9_2,B9_3,B9_4,B9_5,B9_6,B10_1,B11,B12,Attn1,B13_1,B13_2,B13_3,B13_4,B13_5,B13_6,B13_7,B13_8,B13_9,B13_10,B13_11,B13_12,B13_13,B13_14,B13_15,B13_16,B13_17,B14_1,B14_2,B14_3,CFilt,C15,C16,C16_6_TEXT,C17_1,C17_2,C17_3,C17_4,C17_5,C17_6,C17_7,C18,C19,C20,C21,C22,C23,C23_6_TEXT,C24_1,C24_2,C24_3,C24_4,C24_5,C24_6,C24_7,C25,C26,C27,C28,C29,C30,C30_6_TEXT,C31_1,C31_2,C31_3,C31_4,C31_5,C31_6,C31_7,C32,C33,C34,C35,Attn2,D36,D37,D38_1,D38_2,D38_3,D38_4,D38_5,D38_6,D38_7,D38_8,D39_1,D39_2,D39_3,D39_4,D39_5,D39_6,D39_7,D39_8,D39_9,D39_10,D39_11,D39_12,D39_13,D39_14,D39_15,D39_16,D39_17,D39_18,D39_19,D39_20,D39_21,D39_22,D40_1,D40_2,D40_3,D40_4,D40_5,D40_6,D40_7,D40_8,D40_9,D40_10,D40_11,D40_12,E41,E42_1,E42_2,E43_1,E43_2,E43_3,E44_1,E44_2,E44_3,E44_4,E44_5,E44_6,E45_1,E45_2,E45_3,E45_4,E46_1,E46_2,E46_3,E46_4,E46_5,E46_6,E46_7,E47_1,E47_2,E47_3,E48,E49,E50_1,E50_2,E51_1,E51_2,E51_3,E51_4,E51_5,E51_6,G52_1,G52_2,G52_3,G52_4,G53_1,G53_2,G53_3,G54,G55,G55_4_TEXT,G56a,G56b,G57,G58,G59,SC0,opp,RISN,rid,V,cintid,ProjectToken,Q_RelevantIDDuplicate,Q_BallotBoxStuffing,Q_RecaptchaScore,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_TotalDuration,gc,term,score,region,LS,G54_N,Name_1,Name_2,Name-3
4/30/21 7:43,4/30/21 7:45,IP Address,100,128,TRUE,4/30/21 7:45,R_1kHVtI16LwbmbKU,anonymous,EN,I agree to participate in the research study described above.,20,Male,Asian/Black or African American,,,Associate’s degree or trade school diploma,"Less than $15,000",Alaska,No,,,,,,,,,,,,,,,,,,,,,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,4,A great deal,Sometimes,Dog,Somewhat distrust,Somewhat distrust,Somewhat distrust,Somewhat distrust,Somewhat distrust,Somewhat distrust,Somewhat distrust,Somewhat distrust,Somewhat distrust,Somewhat distrust,Somewhat distrust,Somewhat distrust,Somewhat distrust,Somewhat distrust,Somewhat distrust,Somewhat distrust,Neither trust nor distrust,Somewhat disagree,Somewhat disagree,Somewhat disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,,,,,,,,Never,Never,Never,Never,Never,Never,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,A little bit interested,A little bit interested,A little bit interested,-,Democrat,,Strong,,Mike Pence,Democrat,Judicial branch,4,Qual1827-0626Rep,11103951,608c094a-69ea-bf04-4b0c-28988774cb98,,,,,,,,,128,1,,4,west,295,5,0,0,0
4/30/21 7:51,4/30/21 8:08,IP Address,100,1039,TRUE,4/30/21 8:08,R_befsjmVO3bdTiff,anonymous,EN,I agree to participate in the research study described above.,68,Female,White,,,Post-graduate degree,"$30,001 to $45,000",Minnesota,Yes,2-3 hours per day,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Some,Some,Some,Some,Some,Some,5,A little,Most of the time,Dog,Somewhat trust,Somewhat trust,Somewhat trust,Somewhat trust,Distrust very much,Somewhat trust,Neither trust nor distrust,Neither trust nor distrust,Somewhat trust,Somewhat trust,Neither trust nor distrust,Neither trust nor distrust,Somewhat trust,Somewhat distrust,Somewhat distrust,Somewhat trust,Somewhat trust,Somewhat disagree,Somewhat disagree,Somewhat agree,,C.Z,Friend,,"No, never","Yes, occasionally","Yes, occasionally","Yes, occasionally","No, never","No, never","Yes, occasionally",Very different,A moderate amount,Like somewhat,B,J.S,Family member,,"No, never","No, never","No, never","No, never","No, never","No, never","No, never",Very different,A little,Neither like nor dislike,B,none,Other,none,"No, never","No, never","No, never","No, never","No, never","No, never","No, never",Neither similar nor different,A moderate amount,Neither like nor dislike,D,2021,"Between 1,001 and 2,000",None,None,None,Many,A few,Most,A lot,Most,A few,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,A little,Some,Some,Some,Some,Some,Some,Some,Some,Some,A lot,Some,Several times a month,Several times a month,Several times a month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Several times a month,Several times a month,Several times a month,Never,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Yes,Yes,Yes,Occassionally,Quite a few,Rarely,Frequently,Occasionally,Occasionally,Occasionally,Rarely,Occasionally,Never,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Very interested,Very interested,A little bit interested,-,Democrat,,Strong,,Kamala Harris,Democrat,Judicial branch,2,Qual1827-0626Rep,11120900,608c0b78-0cbc-85c7-805f-012145a27490,,,,,,,,,1039,1,,2,midwest,168,3,1,1,0
4/30/21 8:08,4/30/21 8:22,IP Address,100,846,TRUE,4/30/21 8:22,R_2ROqzSQQRZCo7rE,anonymous,EN,I agree to participate in the research study described above.,73,Female,White,,,College degree,"$60,001 to $75,000",Colorado,Yes,Less than 10 minutes per day,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Somewhat agree,Not at all,A lot,A great deal,A little,A little,Not at all,1,A little,Sometimes,Dog,Somewhat trust,Distrust very much,Somewhat distrust,Neither trust nor distrust,Neither trust nor distrust,Somewhat trust,Distrust very much,Somewhat distrust,Neither trust nor distrust,Somewhat trust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Somewhat trust,Somewhat agree,Somewhat agree,Somewhat disagree,,sh,Family member,,"No, never","No, never","No, never","No, never","No, never","No, never","No, never",Somewhat different,A lot,Like a great deal,D,lj,Family member,,"No, never","No, never","No, never","No, never","No, never","No, never","No, never",Very different,A little,Neither like nor dislike,B,sh,Family member,,"No, never","No, never","No, never","No, never","No, never","No, never","No, never",Somewhat different,A lot,Like a great deal,E,2021,Between 51 and 150,None,None,None,A lot,A few,None,A few,A few,None,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,A little,A lot,Some,A little,Some,Some,Some,Some,Some,Some,Some,Some,Never,Never,Never,Never,Never,Never,Never,Never,Never,Once or twice a day,Never,Never,Several times a month,Several times a month,Several times a week,Several times a month,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Yes,Yes,Yes,Never,None,Never,Never,Never,Never,Never,Never,Never,Never,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Interested,Somewhat interested,Interested,-,Independent,,,Closer to the Democratic Party,Kamala Harris,Republican,Judicial branch,4,Qual1827-0626Rep,11120900,608c0f54-6925-b554-03f9-11a42559d605,,,,,,,,,846,1,,4,west,168,3,1,1,1
4/30/21 8:11,4/30/21 8:15,IP Address,100,258,TRUE,4/30/21 8:15,R_2VykTSHcAU9TAsE,anonymous,EN,I agree to participate in the research study described above.,59,Female,White,,,Some college,"$45,001 to $60,000",Kansas,No,,,,,,,,,,,,,,,,,,,,,,Some,Some,Some,A little,Some,Some,4,A moderate amount,Most of the time,Dog,Somewhat trust,Somewhat trust,Somewhat trust,Neither trust nor distrust,Somewhat distrust,Neither trust nor distrust,Distrust very much,Distrust very much,Neither trust nor distrust,Somewhat distrust,Neither trust nor distrust,Somewhat distrust,Neither trust nor distrust,Distrust very much,Distrust very much,Neither trust nor distrust,Somewhat trust,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,Never,Never,Never,Never,Never,Never,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Interested,Interested,Interested,Neither liberal nor conservative,Republican,,Not that strong,,Joe Biden,Democrat,Judicial branch,2,Qual1827-0626Rep,11120900,608c0fdb-6b3d-f857-a88f-b76f79263c2b,,,,,,,,,258,1,,2,midwest,168,6,0,0,0
4/30/21 8:11,4/30/21 8:20,IP Address,100,524,TRUE,4/30/21 8:20,R_3oLLt6lCWHjlqz8,anonymous,EN,I agree to participate in the research study described above.,58,Female,White,,,College degree,"$15,001 to $30,000",Alabama,Yes,Less than 10 minutes per day,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Some,Some,Some,Some,Some,A little,4,A little,About half the time,Dog,Somewhat trust,Neither trust nor distrust,Neither trust nor distrust,Somewhat trust,Neither trust nor distrust,Somewhat trust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Trust very much,Somewhat trust,Somewhat trust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,none,Acquaintance,,"Yes, occasionally","No, never","Yes, occasionally","No, never","Yes, occasionally","No, never","Yes, occasionally",Neither similar nor different,A little,Neither like nor dislike,B,no one else,Acquaintance,,"No, never","No, never","No, never","No, never","No, never","No, never","No, never",Neither similar nor different,None at all,Neither like nor dislike,C,do not know,Acquaintance,,"No, never","No, never","No, never","No, never","No, never","No, never","No, never",Neither similar nor different,None at all,Neither like nor dislike,A,2021,Between 151 and 500,5 or fewer,A few,Many,Many,Many,None,A few,A few,A few,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,A lot,A little,Never,Never,Never,Rarely,Rarely,Rarely,Never,Never,Never,Once or twice a day,Never,Never,Never,Never,Never,Never,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,Yes,Yes,Never,None,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Not at all interested,Not at all interested,Not at all interested,-,Republican,,Strong,,Kamala Harris,Don't know,Don't know,3,Qual1827-0626Rep,11120900,608c102d-f6a3-9c56-11d9-ca22e9bb29db,,,,,,,,,524,1,,3,south,168,9,0,0,0
4/30/21 8:12,4/30/21 8:51,IP Address,100,2336,TRUE,4/30/21 8:51,R_2Bl2baeaBDiHFsn,anonymous,EN,I agree to participate in the research study described above.,75,Male,Multiple races and ethnicities (please specify:),Filipino Am,,Some college,"$60,001 to $75,000",,Yes,1-2 hours per day,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Some,Some,A little,A little,Some,A little,4,A little,Most of the time,Dog,Somewhat trust,Neither trust nor distrust,Somewhat trust,Neither trust nor distrust,Neither trust nor distrust,Somewhat trust,Neither trust nor distrust,Neither trust nor distrust,Trust very much,Trust very much,Somewhat trust,Somewhat trust,Neither trust nor distrust,Neither trust nor distrust,Somewhat trust,Somewhat trust,Trust very much,Neither agree nor disagree,Somewhat disagree,Somewhat agree,,A L,Other,,"Yes, occasionally","Yes, often","Yes, occasionally","No, never","Yes, occasionally","Yes, occasionally","Yes, often",Neither similar nor different,A moderate amount,Neither like nor dislike,A,LC,Other,,"Yes, occasionally","Yes, often","Yes, occasionally","Yes, occasionally","Yes, occasionally","No, never","Yes, occasionally",Neither similar nor different,A moderate amount,Like somewhat,B,EA,Friend,,"Yes, often","Yes, occasionally","Yes, often","Yes, occasionally","Yes, often","Yes, occasionally","Yes, often",Somewhat similar,A lot,Like somewhat,D,2021,Between 151 and 500,Between 6 and 10,A lot,A lot,Many,A few,A few,A few,A few,None,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Some,A little,A lot,A lot,A little,Some,A little,Some,A great deal,A little,A great deal,None at all,Several times a week,Never,Several times a month,Sometimes,Rarely,Rarely,Several times a week,Never,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Never,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,No,No,Yes,Occassionally,Quite a few,Rarely,Rarely,Rarely,Never,Occasionally,Rarely,Rarely,Never,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat interested,Somewhat interested,Somewhat interested,-,Republican,,Not that strong,,Kamala Harris,Democrat,Judicial branch,,Qual1827-0626Rep,11120900,608c1060-19d3-ca04-3141-e747205c6251,,,,,,,,,2336,1,,0,,168,7,1,1,1
4/30/21 8:12,4/30/21 8:37,IP Address,100,1463,TRUE,4/30/21 8:37,R_3qsagcTbEKgPAQg,anonymous,EN,I agree to participate in the research study described above.,56,Female,White,,,Some college,"$15,001 to $30,000",Indiana,Yes,More than 3 hours per day,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Not at all,Some,Some,Some,Some,Not at all,7,A great deal,Most of the time,Dog,Trust very much,Neither trust nor distrust,Neither trust nor distrust,Somewhat distrust,Distrust very much,Trust very much,Somewhat trust,Distrust very much,Somewhat trust,Trust very much,Trust very much,Trust very much,Trust very much,Neither trust nor distrust,Neither trust nor distrust,Distrust very much,Neither trust nor distrust,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,Tim,Friend,,"Yes, often","Yes, often","Yes, often","Yes, occasionally","Yes, often","No, never","Yes, often",Very similar,A moderate amount,Like a great deal,A,Doug,Friend,,"Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally","No, never","Yes, occasionally",Very similar,A great deal,Like a great deal,A,Gina,Friend,,"Yes, often","Yes, often","Yes, often","Yes, often","Yes, occasionally","No, never","Yes, often",Somewhat different,A lot,Like a great deal,A,2021,Between 151 and 500,None,None,A few,A few,A few,A few,Many,Many,A few,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,A little,A great deal,A great deal,A little,A little,A great deal,A little,A great deal,A little,A great deal,A great deal,Some,Never,Never,Never,Never,Never,Very often,Never,Never,Never,Once or twice a day,Never,Never,Once or twice a day,Once or twice a day,Once or twice a day,Once or twice a day,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,No,No,No,Rarely,One or two,Never,Rarely,Rarely,Rarely,Rarely,Very frequently,Very frequently,Very frequently,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat interested,Somewhat interested,Very interested,Very conservative,Republican,,Strong,,Kamala Harris,Democrat,Legislative branch,2,Qual1827-0626Rep,11120900,608c1066-d6ce-b7a7-111b-3c780a5970a6,,,,,,,,,1463,1,,2,midwest,168,11,1,1,1
4/30/21 8:14,4/30/21 8:28,IP Address,100,806,TRUE,4/30/21 8:28,R_2uIBmShDdqtw4dJ,anonymous,EN,I agree to participate in the research study described above.,65,Female,White,,,High school diploma,"$15,001 to $30,000",Arizona,Yes,10-30 minutes per day,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Not at all,Not at all,Not at all,A lot,A lot,Some,5,A moderate amount,Most of the time,Dog,Trust very much,Somewhat trust,Somewhat trust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Trust very much,Trust very much,Trust very much,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither agree nor disagree,Strongly agree,Somewhat disagree,,no one,Friend,,"Yes, occasionally","Yes, occasionally","Yes, occasionally","No, never","Yes, occasionally","Yes, occasionally","Yes, occasionally",Very similar,A great deal,Like a great deal,C,no,Family member,,"Yes, occasionally","Yes, occasionally","Yes, occasionally","No, never","Yes, occasionally","Yes, occasionally","Yes, occasionally",Very similar,A great deal,Like a great deal,A,no,Family member,,"Yes, occasionally","Yes, occasionally","Yes, occasionally","No, never","Yes, occasionally","Yes, occasionally","Yes, occasionally",Very similar,A great deal,Like a great deal,A,2021,50 or fewer,Between 6 and 10,None,None,A lot,A lot,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,Never,Never,Never,Never,Never,Never,Never,Never,Never,Once or twice a day,Never,Never,Never,Never,Never,Never,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,Never,None,Never,Never,Never,Never,Never,Never,Never,Never,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat interested,Somewhat interested,Somewhat interested,Very conservative,Republican,,Strong,,Kamala Harris,Democrat,Legislative branch,4,Qual1827-0626Rep,11120900,608c10b7-13b7-6305-2e19-ba3439e2ab80,,,,,,,,,806,1,,4,west,168,11,0,0,0
4/30/21 8:15,4/30/21 8:35,IP Address,100,1224,TRUE,4/30/21 8:35,R_1H5EyzJQeqTa4sV,anonymous,EN,I agree to participate in the research study described above.,71,Male,White,,,College degree,"$75,001 to $100,000",Florida,Yes,More than 3 hours per day,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,A lot,A lot,A lot,A lot,A lot,A lot,6,A moderate amount,Sometimes,Dog,Somewhat trust,Somewhat trust,Somewhat trust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Somewhat agree,Somewhat agree,Somewhat disagree,,GF,Friend,,"Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Neither similar nor different,A moderate amount,Like somewhat,D,DD,Family member,,"Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Somewhat similar,A moderate amount,Like somewhat,F,MS,Acquaintance,,"Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally","No, never","No, never","Yes, occasionally",Somewhat different,A little,Dislike somewhat,A,2021,"More than 2,000",Between 6 and 10,A few,A few,A few,A few,A few,A few,A few,A few,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Some,Some,Some,Some,Some,Some,Some,Some,Some,Some,Some,Some,Several times a month,Several times a week,Several times a week,Sometimes,Sometimes,Sometimes,Several times a week,Several times a week,Several times a week,Several times a week,Several times a week,Several times a week,Several times a week,Several times a week,Several times a week,Several times a week,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,No,No,No,Frequently,Several,Occassionally,Occassionally,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Interested,Interested,Interested,Very conservative,Republican,,Strong,,Kamala Harris,Democrat,Legislative branch,3,Qual1827-0626Rep,11120900,608c10c2-8f4f-31a9-f2f7-6e75277621bb,,,,,,,,,1224,1,,3,south,168,11,1,1,1
4/30/21 8:14,4/30/21 8:26,IP Address,100,744,TRUE,4/30/21 8:26,R_2TvfQhGt1QRGl8D,anonymous,EN,I agree to participate in the research study described above.,72,Female,White,,,College degree,"$60,001 to $75,000",California,Yes,10-30 minutes per day,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,A lot,A great deal,A great deal,A lot,A great deal,A lot,6,A moderate amount,Most of the time,Dog,Trust very much,Distrust very much,Distrust very much,Distrust very much,Distrust very much,Neither trust nor distrust,Distrust very much,Distrust very much,Somewhat distrust,Trust very much,Trust very much,Trust very much,Trust very much,Somewhat trust,Distrust very much,Trust very much,Neither trust nor distrust,Strongly agree,Strongly agree,Strongly disagree,,Randy,Friend,,"Yes, often","Yes, often","Yes, often","No, never","Yes, often","No, never","Yes, often",Very similar,A great deal,Like a great deal,G,Linda,Friend,,"Yes, often","Yes, often","Yes, often","No, never","Yes, often","No, never","Yes, often",Very similar,A great deal,Like a great deal,E,Thomas,Acquaintance,,"No, never","No, never","No, never","No, never","No, never","No, never","No, never",Very different,A little,Neither like nor dislike,A,2021,Between 51 and 150,5 or fewer,Many,Many,A few,A few,A few,A lot,A lot,None,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Some,A little,Some,Some,A lot,Some,A lot,Some,Some,Some,A great deal,A little,Never,Several times a day,Never,Sometimes,Sometimes,Often,Once or twice a day,Never,Never,Never,Once or twice a day,Never,Once or twice a day,Once or twice a day,Once or twice a day,Never,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Yes,Yes,Yes,Never,None,Never,Never,Never,Never,Very frequently,Very frequently,Never,Never,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,A little bit interested,Very interested,Very interested,Very conservative,Republican,,Strong,,Kamala Harris,Democrat,Judicial branch,4,Qual1827-0626Rep,11120900,608c10cf-d27c-ced2-8fb5-ef4ed61dd838,,,,,,,,,744,1,,4,west,168,11,1,1,1
